0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:33:40 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:33:40 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/datatables/dataTables.bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:33:40 +0800] "GET /PersonnelTravelManagementWeb/assets/js/data-table.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:33:40 +0800] "GET /PersonnelTravelManagementWeb/assets/js/placeholdr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:33:40 +0800] "GET /PersonnelTravelManagementWeb/assets/js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:33:40 +0800] "GET /PersonnelTravelManagementWeb/assets/demo/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:33:40 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/form-select2/select2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:33:40 +0800] "GET /PersonnelTravelManagementWeb/assets/js/edit_ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:33:40 +0800] "GET /PersonnelTravelManagementWeb/assets/js/fixselect2inmodal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:33:40 +0800] "GET /PersonnelTravelManagementWeb/assets/js/tools.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:33:40 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/form-jasnyupload/fileinput.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:33:40 +0800] "GET /PersonnelTravelManagementWeb/assets/js/alert.js HTTP/1.1" 304 -
